Word,Start (s),End (s)
hi,0.5,1.0
race,1.0,1.4
take,1.4,1.9
a,1.9,2.0
block,2.0,2.4
and,2.4,2.6
put,2.6,2.9
it,2.9,3.0
to,3.0,3.2
your,3.2,3.5
right,3.5,3.9
on,3.9,4.8
the,4.8,5.0
table,5.0,5.1
now,5.1,6.2
push,6.2,7.0
it,7.0,7.2
forward,7.2,7.4
now,9.2,9.6
I,9.6,9.8
just,9.8,9.9
take,9.9,10.1
a,10.1,10.2
second,10.2,10.5
block,10.5,11.0
and,11.0,11.3
I,11.3,11.4
want,11.4,11.6
you,11.6,11.7
to,11.7,11.7
place,11.7,12.2
it,12.2,12.5
half,12.5,13.1
a,13.1,13.1
block,13.1,13.4
back,13.4,14.3
from,14.3,14.5
that,14.5,14.7
one,14.7,15.1
and,15.1,15.3
half,15.3,15.6
a,15.6,15.7
block,15.7,15.9
to,15.9,16.3
your,16.3,16.6
left,16.6,17.5
no,19.6,22.1
go,22.1,23.1
further,23.1,24.1
over,24.1,24.4
to,24.4,24.8
the,24.8,24.8
left,24.8,25.2
and,25.2,26.2
now,26.2,26.2
bring,26.2,26.6
it,26.6,26.8
up,26.8,27.1
so,27.1,27.5
it's,27.5,27.6
like,27.6,27.8
in,27.8,27.9
a,27.9,28.0
half,28.0,28.2
block,28.2,28.8
oh,28.8,29.1
I,29.1,29.3
know,29.3,29.5
Bring,29.5,30.6
It,30.6,30.8
Forward,30.8,31.2
so,31.2,32.0
that,32.0,32.1
your,32.1,32.4
matching,32.4,33.3
it,33.3,33.4
up,33.4,33.5
to,33.5,33.6
half,33.6,34.0
of,34.0,34.1
that,34.1,34.2
block,34.2,34.6
now,35.8,36.3
pull,36.3,36.5
it,36.5,36.6
apart,36.6,36.7
half,36.7,37.7
a,37.7,37.8
block,37.8,38.0
there,39.0,39.3
you,39.3,39.5
go,39.5,39.6
now,39.6,40.4
a,40.4,40.7
whole,40.7,41.2
block,41.2,41.5
back,42.9,43.6
from,43.6,44.3
the,44.3,44.4
one,44.4,44.6
you,44.6,44.7
just,44.7,44.8
laid,44.8,45.4
and,45.4,45.7
over,45.7,46.2
whole,46.2,46.5
block,46.5,46.8
over,49.3,50.1
more,50.1,50.4
yeah,52.6,52.9
and,52.9,53.8
now,53.8,54.0
take,54.0,54.3
those,54.3,54.4
the,54.4,54.7
last,54.7,55.2
block,55.2,55.6
and,55.6,57.0
I,57.0,57.1
want,57.1,57.4
you,57.4,57.5
to,57.5,57.5
go,57.5,57.7
back,57.7,58.1
half,58.1,58.5
a,58.5,58.5
block,58.5,58.8
from,58.8,59.1
the,59.1,59.2
one,59.2,59.4
you,59.4,59.5
just,59.5,59.6
laid,59.6,60.1
go,61.8,62.7
to,62.7,62.8
the,62.8,63.0
last,63.0,63.2
go,64.6,65.0
over,65.0,65.2
little,65.2,65.4
more.,65.4,66.8
Go,66.8,67.0
forward,67.0,67.4
so,67.4,67.8
it's,67.8,68.0
come,68.0,68.2
in,68.2,68.3
the,68.3,68.5
half,68.5,68.8
of,68.8,68.9
that,68.9,69.1
one,69.1,69.3
yeah,70.2,70.7
that's,70.7,71.2
it,71.2,71.3
that's,71.3,72.0
good,72.0,72.3
