Word,Start (s),End (s)
okay,0.0,1.6
I,1.6,1.9
need,1.9,2.1
for,2.1,2.4
base,2.4,2.7
again,2.7,3.1
and,3.1,3.8
it's,3.8,3.9
going,3.9,4.0
to,4.0,4.1
be,4.1,4.2
like,5.6,6.0
a,6.0,6.1
fan,6.1,6.8
or,6.8,7.0
sound,7.0,7.9
wave,7.9,8.1
going,8.1,8.2
out,8.2,8.5
so,10.1,10.5
like,10.5,10.7
Stand,10.7,11.3
Out,11.3,11.7
away,11.7,12.1
from,12.1,12.2
you,12.2,12.5
just,19.0,19.5
for,19.5,19.7
sober,19.7,20.9
okay,23.0,23.5
so,23.5,23.7
think,23.7,24.0
of,24.0,24.1
like,24.1,25.1
a,25.1,25.1
WiFi,25.1,25.6
signal,25.6,25.9
with,25.9,26.7
a,26.7,26.8
u,26.8,26.9
shape,26.9,27.3
the,32.7,33.0
next,33.0,33.4
one,33.4,33.6
is,33.6,33.7
3,33.7,34.3
on,34.3,34.5
top,34.5,34.7
of,34.7,34.9
those,34.9,35.1
just,39.5,40.7
like,40.7,40.8
your,40.8,41.0
building,41.0,41.1
a,41.1,41.3
tower,41.3,41.6
and,46.3,46.7
then,46.7,47.0
take,47.0,48.0
the,48.0,48.0
two,48.0,48.2
on,48.2,48.3
top,48.3,48.7
so,48.7,49.7
we're,49.7,49.8
building,49.8,50.0
up,50.0,50.1
even,50.1,51.8
column,51.8,52.3
I,52.3,52.5
guess,52.5,52.8
so,52.8,53.5
if,53.5,53.7
the,53.7,53.8
base,53.8,54.0
is,54.0,54.1
going,54.1,54.3
to,54.3,54.3
have,54.3,54.4
4,54.4,54.7
seconds,54.7,55.6
going,55.6,55.7
to,55.7,55.8
have,55.8,55.9
3,55.9,56.1
into,56.1,56.8
on,56.8,57.0
top,57.0,57.1
of,57.1,57.2
that,57.2,57.4
and,57.4,57.5
then,57.5,57.6
one,57.6,57.8
