Word,POS
this,DT
one,CD
is,VBZ
also,RB
another,DT
three-dimensional,JJ
one,CD
there,EX
's,VBZ
going,VBG
to,TO
be,VB
four,CD
blocks,NNS
at,IN
804,CD
kind,NN
of,IN
centered,VBN
in,IN
the,DT
grid,NN
the,DT
grids,NNS
not,RB
as,IN
relevant,JJ
there,EX
can,MD
not,RB
not,RB
be,VB
up,RP
a,DT
square,NN
rather,RB
they,PRP
're,VBP
going,VBG
to,TO
be,VB
Dimond,NNP
so,IN
they,PRP
're,VBP
going,VBG
to,TO
be,VB
turn,VB
up,RP
90,CD
°,CD
each,DT
block,NN
90,CD
°,CD
yep,NN
just,RB
like,IN
that,DT
I,PRP
would,MD
separate,VB
them,PRP
a,DT
little,JJ
separate,JJ
the,DT
ones,NNS
you,PRP
left,VBD
and,CC
right,RB
yet,RB
the,DT
front,NN
and,CC
back,RB
are,VBP
n't,RB
as,RB
much,JJ
separated,VBN
it,PRP
's,VBZ
all,DT
good,JJ
shape,NN
of,IN
this,DT
is,VBZ
let,VB
's,POS
do,VB
the,DT
left,NN
and,CC
right,NN
so,RB
focus,VB
on,IN
the,DT
left,JJ
and,CC
right,JJ
locks,NNS
I,PRP
hate,VBP
zero,CD
put,VBD
one,CD
block,NN
on,IN
top,NN
of,IN
each,DT
though,IN
they,PRP
're,VBP
not,RB
diamond,NN
shapes,NNS
their,PRP$
square-shaped,JJ
now,RB
yes,RB
it,PRP
's,VBZ
like,IN
that,DT
there,EX
is,VBZ
now,RB
focus,VB
on,IN
the,DT
front,NN
and,CC
back,RB
diamonds,NNS
there,RB
is,VBZ
there,EX
still,RB
there,EX
's,VBZ
going,VBG
to,TO
be,VB
a,DT
block,NN
on,IN
top,NN
of,IN
each,DT
one,CD
of,IN
those,DT
but,CC
they,PRP
're,VBP
still,RB
diamond-shaped,JJ
and,CC
they,PRP
're,VBP
going,VBG
to,TO
be,VB
built,VBN
in,IN
a,DT
pyramidal,JJ
pure,JJ
middleweight,JJ
I,PRP
guess,VBP
so,RB
move,VB
the,DT
block,NN
on,IN
top,NN
of,IN
you,PRP
either,DT
one,CD
of,IN
those,DT
I-80,NNP
near,IN
eat,VB
near,IN
to,TO
each,DT
other,JJ
not,RB
those,DT
ones,NNS
but,CC
the,DT
ones,NNS
on,IN
there,EX
going,VBG
to,TO
be,VB
an,DT
appears,VBZ
that,IN
they,PRP
're,VBP
not,RB
quite,RB
touching,JJ
but,CC
they,PRP
're,VBP
more,RBR
near,IN
to,TO
each,DT
other,JJ
so,IN
you,PRP
might,MD
want,VB
to,TO
move,VB
the,DT
blocks,NNS
of,IN
heights,NNS
zero,CD
farther,RB
away,RB
from,IN
each,DT
other,JJ
yeah,NN
but,CC
only,RB
the,DT
ones,NNS
nearest,JJS
and,CC
farthest,JJS
you,PRP
not,RB
the,DT
ones,NNS
on,IN
the,DT
left,NN
or,CC
the,DT
right,NN
then,RB
there,EX
is,VBZ
a,DT
block,NN
stacked,VBN
on,IN
top,NN
of,IN
those,DT
two,CD
that,IN
you,PRP
just,RB
made,VBD
yet,CC
it,PRP
looks,VBZ
like,IN
it,PRP
's,VBZ
whatever,WDT
I,PRP
have,VBP
n't,RB
checked,VBN
yet,RB
again,RB
and,CC
then,RB
focusing,VBG
on,IN
the,DT
ones,NNS
on,IN
the,DT
left,NN
or,CC
the,DT
right,NN
there,EX
is,VBZ
diamond,NN
shaped,JJ
ones,NNS
on,IN
this,DT
they,PRP
're,VBP
not,RB
touching,VBG
the,DT
ones,NNS
in,IN
the,DT
middle,NN
and,CC
that,DT
looks,VBZ
about,RB
right,JJ
