Word,POS
once,RB
you,PRP
start,VB
up,RP
on,IN
the,DT
Block,NNP
like,IN
on,IN
your,PRP$
right,NN
and,CC
then,RB
one,CD
about,IN
probably,RB
about,IN
4,CD
blocks,NNS
spaced,VBD
out,IN
of,IN
that,DT
yeah,NN
and,CC
then,RB
the,DT
one,CD
that,IN
you,PRP
just,RB
placed,VBD
we,PRP
're,VBP
going,VBG
to,TO
go,VB
to,TO
your,PRP$
left,VBN
now,RB
yes,RB
he,PRP
plays,VBZ
at,IN
block,NN
like,IN
almost,RB
touching,VBG
it,PRP
but,CC
slightly,RB
behind,IN
it,PRP
yeah,RB
perfect,JJ
and,CC
I,PRP
do,VBP
the,DT
same,JJ
thing,NN
except,IN
that,DT
next,JJ
block,NN
is,VBZ
going,VBG
to,TO
actually,RB
be,VB
touching,VBG
it,PRP
but,CC
it,PRP
's,VBZ
still,RB
like,IN
slightly,RB
behind,IN
it,PRP
yeah,NN
