Word,POS
okay,JJ
first,JJ
to,TO
start,VB
with,IN
three,CD
blocks,NNS
in,IN
a,DT
horizontal,JJ
row,NN
and,CC
then,RB
3,CD
more,JJR
blocks,NNS
slightly,RB
to,TO
the,DT
side,NN
to,TO
your,PRP$
left,NN
I,PRP
'm,VBP
sorry,JJ
to,TO
your,PRP$
right,NN
I,PRP
'm,VBP
really,RB
bad,JJ
at,IN
this,DT
and,CC
then,RB
yeah,VB
you,PRP
do,VBP
n't,RB
have,VB
to,TO
put,VB
them,PRP
too,RB
much,JJ
okay,JJ
and,CC
then,RB
3,CD
more,JJR
blocks,VBZ
the,DT
same,JJ
way,NN
slightly,RB
to,TO
your,PRP$
right,NN
and,CC
then,RB
two,CD
blocks,NNS
like,IN
in,IN
the,DT
cracks,NNS
like,IN
in,IN
the,DT
crevice,NN
between,IN
the,DT
two,CD
blocks,NNS
and,CC
then,RB
they,PRP
touch,VBP
I,PRP
ca,MD
n't,RB
really,RB
tell,VB
is,VBZ
that,IN
is,VBZ
this,DT
one,CD
okay,JJ
okay,JJ
I,PRP
think,VBP
we,PRP
're,VBP
good,JJ
and,CC
then,RB
put,VBD
one,CD
block,NN
directly,RB
on,IN
top,NN
of,IN
the,DT
one,CD
to,TO
your,PRP$
left,NN
that,IN
yeah,JJ
yeah,NN
is,VBZ
that,IN
okay,JJ
then,RB
you,PRP
're,VBP
good,JJ
